O*NET-SOC Code;Title;Description;Area
11-1011.00;Izpilddirektors;Nosaka un formulē politiku un nodrošina uzņēmumu vai privātā un publiskā sektora organizāciju vispārēju vadību saskaņā ar direktoru padomes vai līdzīgas pārvaldes struktūras noteiktajām vadlīnijām. Plāno, vada vai koordinē operatīvās darbības augstākajā vadības līmenī ar padoto vadītāju un personāla vadītāju palīdzību.;Vadība
11-1011.03;Galvenā ilgtspējības amatpersona;Sazinās un sadarbojas ar vadību, akcionāriem, klientiem un darbiniekiem, lai risinātu ilgtspējības problēmas. Ievieš vai pārraudzī korporatīvās ilgtspējas stratēģiju.;Vadība
11-1021.00;Vispārējais un operāciju vadītājs;Plāno, vada vai koordinē valsts vai privātā sektora organizāciju darbību, pārraugot vairākas nodaļas vai vietas. Pienākumos un pienākumos ietilpst politikas formulēšana, ikdienas darbību vadība un materiālu un cilvēkresursu izmantošanas plānošana, taču tie ir pārāk daudzveidīgi un vispārīgi, lai tos varētu klasificēt vienā vadības vai administrācijas funkcionālajā jomā, piemēram, personāla, iepirkumu vai administratīvo pakalpojumu jomā. Parasti pārvalda ar padotajiem uzraugiem. Neietver pirmās līnijas uzraugus.;Vadība
11-1031.00;Likumdevējs;Izstrādā, ievieš vai ievieš likumus un statūtus vietējā, cilšu, valsts vai federālā līmenī. Ietver tikai darbiniekus vēlētos amatos.;Vadība
11-2011.00;Reklāmas un veicināšanas vadītājs;Plāno, virza vai koordinē reklāmas politiku un programmas vai sagatavo papildu materiālus, piemēram, plakātus, konkursus, kuponus vai dāvanas, lai radītu papildu interesi par produkta vai pakalpojuma iegādi nodaļai, visai organizācijai vai kontam.;Vadība
11-2021.00;Mārketinga vadītājs;Plāno, virza vai koordinē mārketinga politiku un programmas, piemēram, lai noteiktu pieprasījumu pēc uzņēmuma un tā konkurentu piedāvātajiem produktiem un pakalpojumiem, un identificē potenciālos klientus. Izstrādā cenu noteikšanas stratēģijas, lai palielinātu uzņēmuma peļņu vai tirgus daļu, vienlaikus nodrošinot, ka uzņēmuma klienti ir apmierināti. Pārraudzī produktu attīstību vai pārraudzī tendences, kas norāda uz jaunu produktu un pakalpojumu nepieciešamību.;Vadība
11-2022.00;Pārdošanas vadītājs;Plāno, virza vai koordinē produkta vai pakalpojuma faktisko izplatīšanu vai pārvietošanu klientam. Koordinē pārdošanas izplatīšanu, nosakot tirdzniecības teritorijas, kvotas un mērķus, kā arī izveido apmācības programmas tirdzniecības pārstāvjiem. Analizē darbinieku apkopoto pārdošanas statistiku, lai noteiktu pārdošanas potenciālu un krājumu prasības un pārraudzītu klientu vēlmes.;Vadība
11-2032.00;Sabiedrisko attiecību vadītājs;Plāno, vada vai koordinē darbības, kas paredzētas, lai radītu vai uzturētu labvēlīgu sabiedrības tēlu vai palielinātu izpratni par viņu organizāciju vai klientu.;Vadība
11-2033.00;Līdzekļu vākšanas vadītājs;Plāno, vada vai koordinē darbības, lai pieprasītu un uzturētu līdzekļus īpašiem projektiem vai bezpeļņas organizācijām.;Vadība
11-3012.00;Administratīvo pakalpojumu vadītājs;Plāno, virza vai koordinē vienu vai vairākus organizācijas administratīvos pakalpojumus, piemēram, ierakstu un informācijas pārvaldību, pasta izplatīšanu un citus biroja atbalsta pakalpojumus.;Vadība
11-3013.00;Ēku un objektu vadītājs;Plāno, vada vai koordinē iekārtu un ēku darbības un funkcionalitāti. Var ietvert apkārtējo teritoriju vai vairākas organizācijas pilsētiņas telpas.;Vadība
11-3013.01;Drošības vadītājs;Vada organizācijas drošības funkcijas, tostarp fizisko drošību un darbinieku un telpu drošību.;Vadība
11-3021.00;Datoru un informācijas sistēmu vadītājs;Plāno, vada vai koordinē darbības tādās jomās kā elektroniskā datu apstrāde, informācijas sistēmas, sistēmu analīze un datorprogrammēšana.;Vadība
